id,name,age,policyNumber,months_as_customer,claimStatus,description,auto_make,autonomy_level,roadway_type,roadway_surface,posted_speed_limit,lighting,weather,mileage,usage_year,speed,acceleration,disengagement,collision_type,incident_severity,insurance_cost,cornering,distance_to_next_car
6e8e5a2d-b8d0-4a0a-bad1-948684032c86,Daniel Griffin,31,500548,208,Rejected,Claim for windshield replacement,Volkswagen,ADS,Rural,Dry,50,Daylight,Cloudy,9022,1,45,normal,0,Rear,Major,32893,Smooth,35
05961c6b-6b92-4c6e-878c-0943b3cfc010,Jesus Barr,46,342555,346,Pending,Claim for total vehicle loss due to collision,Ford,ADS,Highway,Dry,60,Dawn / Dusk,Cloudy,11791,0,58,normal,0,Front,Minor,889,Sharp,18
539bd123-3605-437a-8caa-3877a38b26e9,Sean Evans,76,475975,327,Rejected,Claim for total vehicle loss due to collision,Volkswagen,ADS,Highway,Dry,55,Daylight,Clear,38265,3,51,normal,0,Rear,Major,28549,Smooth,16
51a6dc45-ba7f-4705-9c99-3d1defa7faa3,Angela Gonzalez,46,190134,445,Rejected,Claim for vehicle damage due to accident,Toyota,ADS,Urban,Dry,30,Dark - Not Lighted,Cloudy,24953,0,27,normal,0,Front,Minor,2600,Aggressive,3
7eb2560c-432c-4610-81a8-bd7331a76c43,Douglas Hall,77,411165,627,Pending,Claim for total vehicle loss due to collision,Mercedes,ADS,Urban,Dry,45,Dark - Lighted,Clear,12468,1,16,crash,0,Side,Minor,2095,Smooth,13
d5ef1a38-93f1-4de1-a5f0-c4752c7da167,John Vasquez,59,644100,796,Pending,Claim for total vehicle loss due to collision,Toyota,ADS,Parking lot,Dry,15,Dawn / Dusk,Clear,9328,1,0,normal,1,Rear,Minor,2150,Smooth,0
6918c800-4b2e-4035-a7cf-5a2fc161f080,Anna Barber,23,336874,550,Rejected,Claim for windshield replacement,Saab,ADS,Urban,Dry,35,Dark - Lighted,Clear,15724,1,25,risky,0,Side,Minor,2121,Smooth,21
25d836b3-bd0d-4435-a54a-f3905dede4c0,Alexander Jones,76,947816,405,Rejected,Claim for vehicle damage due to accident,BMW,ADS,Urban,Wet,45,Dark - Not Lighted,Snow,14786,0,37,normal,0,Rear,Major,31042,Smooth,13
fe285a67-447e-4ccc-80c5-86027ec157c8,Sharon Luna,43,657193,98,Rejected,Claim for total vehicle loss due to collision,Mercedes,ADS,Highway,Dry,60,Daylight,Cloudy,19110,1,60,normal,0,Side,Minor,3093,Smooth,42
2f716db3-7a6c-46c9-a631-7d4465ac03bb,Sara Jacobson,30,343691,550,Rejected,Claim for windshield replacement,Ford,ADS,Highway,Dry,70,Dawn / Dusk,Clear,14485,0,65,normal,0,Front,Major,35620,Smooth,35
5d9767ee-c321-413a-a80c-6ae1eb82d0dc,Katrina Wagner,76,258236,98,Rejected,Claim for windshield replacement,Volkswagen,ADS,Urban,Dry,35,Dawn / Dusk,Windy,14339,1,33,normal,0,Rear,Major,14885,Smooth,17
a816e506-36c9-4588-aa32-3f39dfcef356,Tyler King,30,656978,486,Rejected,Claim for vehicle damage due to accident,Volkswagen,ADS,Highway,Dry,70,Daylight,Cloudy,10790,0,70,normal,0,Side,Minor,3642,Sharp,42
bcb38ddd-e7ac-4fcb-a636-66a867e4f7ca,Lisa Lang,26,984424,405,Approved,Claim for vehicle damage due to accident,BMW,ADS,Highway,Dry,60,Dark - Lighted,Clear,29090,2,60,normal,0,Side,Minor,3759,Smooth,24
dc40142b-a652-4c59-aa8a-54af4e251970,Michael Jones,57,799987,500,Pending,Claim for windshield replacement,Mercedes,ADS,Urban,Dry,25,Daylight,Cloudy,13623,1,23,normal,0,Side,Minor,1784,Smooth,15
107b46c9-2196-4c7f-a80a-bae31c161514,Julie Solis,26,965715,550,Pending,Claim for windshield replacement,Saab,ADS,Urban,Dry,40,Dark - Not Lighted,Clear,11490,0,25,normal,0,Rear,Minor,3097,Smooth,20
4ff79f42-c424-4ff7-b515-e8eb00fbccf9,Kellie Wilson,55,361869,500,Pending,Claim for vehicle damage due to accident,Volkswagen,ADS,Urban,Dry,40,Dark - Lighted,Clear,9058,1,9,normal,0,Rear,Major,20639,Sharp,16
d037daef-9b07-4aa3-b2d2-b8c7bd5df821,James Lopez PhD,62,747773,445,Rejected,Claim for vehicle damage due to accident,Mercedes,ADS,Highway,Wet,70,Dark - Not Lighted,Rain,7452,0,59,normal,0,Rear,Major,23721,Smooth,56
a169f30d-2915-4705-92aa-ad1aaf54d746,Hector Larson,66,412276,463,Rejected,Claim for total vehicle loss due to collision,Mercedes,ADS,Urban,Wet,35,Daylight,Rain,12526,1,9,risky,0,Side,Minor,2378,Aggressive,21
a7e438bf-c27d-432c-8e5f-aff0764eeff4,Emily Mejia,68,473988,405,Pending,Claim for windshield replacement,Mercedes,ADS,Highway,Dry,55,Dark - Lighted,Fog/Smoke,33147,3,46,normal,0,Rear,Minor,2294,Smooth,16
96f8f4e1-30e2-49bf-9c6d-e0701523ea89,Roger Monroe,55,528251,167,Rejected,Claim for total vehicle loss due to collision,Mercedes,ADS,Highway,Wet,65,Daylight,Rain,12558,0,59,normal,0,Rear,Minor,3494,Smooth,13
0eda132c-2379-4bc3-ad63-b7116dc50ec9,Stephanie Stone,43,133403,57,Pending,Claim for windshield replacement,Toyota,ADS,Parking lot,Dry,5,Dawn / Dusk,Clear,14635,1,3,normal,0,Rear,Major,22742,Aggressive,0
319d4b5e-8b57-48fc-8759-7d486957b65b,Louis Garcia,38,526412,327,Pending,Claim for windshield replacement,Mercedes,ADS,Highway,Dry,70,Daylight,Clear,13258,1,70,normal,0,Rear,Major,30241,Smooth,49
244f303b-267b-4029-9deb-bf7f25365dd8,Marissa Robertson,47,485430,208,Rejected,Claim for total vehicle loss due to collision,Nissan,ADS,Urban,Dry,40,Daylight,Clear,16223,0,6,normal,1,Rear,Minor,3406,Aggressive,4
8673b801-e837-4606-bbda-24f76484b731,Andrew Cummings,26,965836,15,Pending,Claim for vehicle damage due to accident,BMW,ADS,Highway,Wet,60,Daylight,Cloudy,15977,1,54,normal,0,Front,Major,20628,Smooth,6
1bd1747a-eeab-468b-8530-0fd688ba0377,Amy Skinner,43,114803,486,Rejected,Claim for windshield replacement,Ford,ADS,Urban,Wet,25,Dawn / Dusk,Snow,14399,0,10,normal,0,Front,Major,39942,Sharp,5
e8314d3e-c286-4e00-831c-6ab7830571df,Elizabeth Thompson,55,484581,15,Pending,Claim for vehicle damage due to accident,BMW,ADS,Urban,Dry,25,Dark - Lighted,Clear,14035,0,1,normal,0,Rear,Minor,2443,Sharp,12
f1a558a1-6705-4253-944c-bc70752644fd,Mary Mcbride,55,126022,550,Pending,Claim for total vehicle loss due to collision,Volkswagen,ADS,Urban,Dry,25,Dawn / Dusk,Cloudy,13498,0,17,normal,0,Side,Minor,3859,Smooth,5
b71e2af7-ca3b-41c4-a247-3df0c2fd26b5,Noah Mayo,31,395790,405,Rejected,Claim for windshield replacement,Honda,ADS,Urban,Dry,40,Daylight,Clear,12134,1,2,risky,0,Side,Minor,3965,Smooth,24
e7941e69-9dc2-4bf2-90cc-f811dde7a170,Brian Smith,43,277748,72,Rejected,Claim for windshield replacement,Saab,ADS,Urban,Dry,30,Daylight,Cloudy,11261,0,12,normal,0,Rear,Minor,3790,Smooth,12
